Source,Target,Weight
of,quality,1

quality,and,1

and,excellence,1

excellence,everybody,1

everybody,talks,1

talks,about,1

about,it,1

it,everybody,1

everybody,knows,1

knows,about,1

about,it,1

it,its,1

its,very,1

very,very,1

very,special,1

special,im,1

im,very,1

very,proud,1

proud,of,1

of,it,1

it,our,1

our,buildings,1

buildings,and,1

and,resorts,1

resorts,now,1

now,stand,1

stand,very,1

very,proudly,1

proudly,and,1

and,beautifully,1

beautifully,all,1

all,over,1

over,the,1

the,united,1

united,states,1

states,and,1

and,in,1

in,many,1

many,other,1

other,countries,1

i,started,1

started,with,1

with,the,1

the,issue,1

issue,of,1

of,illegal,1

illegal,immigration,1

immigration,and,1

and,proposed,1

proposed,building,1

building,a,1

a,major,1

major,wall,1

wall,that,1

that,would,1

would,be,1

be,very,1

very,high,1

high,and,1

and,completely,1

completely,impervious,1

impervious,to,1

to,the,1

the,flood,1

flood,of,1

of,immigrants,1

immigrants,who,1

who,we,1

we,dont,1

dont,want,1

want,or,1

or,need,1

need,here,1

here,illegally,1

illegally,we,1

we,love,1

love,people,1

people,coming,1

coming,in,1

in,but,1

but,not,1

not,when,1

when,its,1

its,done,1

done,illegally,1

suddenly,americans,1

americans,started,1

started,to,1

to,wake,1

wake,up,1

up,to,1

to,what,1

what,was,1

was,going,1

going,on,1

on,with,1

with,regard,1

regard,to,1

to,illegal,1

illegal,immigration,1

immigration,despite,1

despite,the,1

the,large,1

large,number,1

number,of,1

of,candidates,1

candidates,who,1

who,were,1

were,running,1

running,for,1

for,the,1

the,republican,1

republican,nomination,1

nomination,what,1

what,i,1

i,was,1

was,saying,1

saying,started,1

started,to,1

to,really,1

really,hit,1

hit,home,1

home,with,1

with,people,1

people,and,1

and,everybody,1

everybody,picked,1

picked,it,1

it,up,1

up,and,1

and,they,1

they,picked,1

picked,it,1

it,up,1

up,gladly,1

i,started,1

started,drawing,1

drawing,crowds,1

crowds,so,1

so,large,1

large,that,1

that,we,1

we,had,1

had,to,1

to,move,1

move,our,1

our,rallies,1

rallies,into,1

into,football,1

football,stadiums,1

stadiums,and,1

and,convention,1

convention,centers,1

centers,the,1

the,first,1

first,national,1

national,debate,1

debate,drew,1

drew,million,1

million,viewers,1

viewers,which,1

which,set,1

set,a,1

a,record,1

record,for,1

for,cable,1

cable,television,1

television,despite,1

despite,some,1

some,of,1

of,the,1

the,ridiculous,1

ridiculous,antagonistic,1

antagonistic,questionsor,1

questionsor,maybe,1

maybe,because,1

because,of,1

of,themi,1

themi,fought,1

fought,back,1

back,as,1

as,i,1

i,always,1

always,do,1

do,and,1

and,began,1

began,to,1

to,explain,1

explain,my,1

my,vision,1

vision,as,1

as,a,1

a,result,1

result,most,1

most,people,1

people,thought,1

thought,i,1

i,won,1

won,the,1

the,debate,1

people,were,1

were,applauding,1

applauding,all,1

all,of,1

of,a,1

a,sudden,1

sudden,people,1

people,who,1

who,had,1

had,never,1

never,cared,1

cared,about,1

about,elections,1

elections,or,1

or,never,1

never,voted,1

voted,were,1

were,rushing,1

rushing,to,1

to,our,1

our,rallies,1

rallies,the,1

the,rallies,1

rallies,became,1

became,massive,1

massive,the,1

the,crowds,1

crowds,were,1

were,unbelievable,1

unbelievable,the,1

the,enthusiasm,1

enthusiasm,was,1

was,based,1

based,on,1

on,pure,1

pure,love,1

love,and,1

and,love,1

love,of,1

of,what,1

what,we,1

we,were,1

were,doing,1

the,media,1

media,the,1

the,politicians,1

politicians,and,1

and,the,1

the,so,1

so,called,1

called,leaders,1

leaders,of,1

of,our,1

our,country,1

country,reacted,1

reacted,in,1

in,horror,1

horror,but,1

but,i,1

i,persevered,1

persevered,and,1

and,went,1

went,directly,1

directly,to,1

to,the,1

the,people,1

people,because,1

because,i,1

i,dont,1

dont,need,1

need,anyones,1

anyones,financial,1

financial,support,1

support,nor,1

nor,do,1

do,i,1

i,need,1

need,anyones,1

anyones,approval,1

approval,of,1

of,what,1

what,i,1

i,say,1

say,or,1

or,do,1

do,i,1

i,just,1

just,had,1

had,to,1

to,do,1

do,the,1

the,right,1

right,thing,1

thing,i,1

i,had,1

had,to,1

to,do,1

do,it,1

